uid,created_at,coin,goal,obs,id,priority
fk@fkodama.com,2024-02-08T02:34:31.748Z,SNX,2,,bbfd1cba-5aa0-4552-a0d0-53014f8f377d,High
fk@fkodama.com,2024-02-08T02:39:02.433Z,APE,0,,d4f87fb3-649c-4836-81ed-93b441fc095b,Low
fk@fkodama.com,2024-02-08T02:35:34.055Z,ILV,0,,c10f44a3-bb8c-46dd-9d44-38ab3e661e07,Low
fk@fkodama.com,2024-02-08T02:26:26.055Z,AGIX,5,,f301c181-9c5c-4fe7-8000-ad587a7b382d,High
fk@fkodama.com,2024-02-08T02:35:26.342Z,STX,2,,f4166cba-a9b3-4439-a0e7-5bc5f7e7e42f,High
fk@fkodama.com,2024-02-08T02:37:24.692Z,EGLD,1,,9c625705-f4f6-42e1-8f9b-350bb8da9e91,Low
fk@fkodama.com,2024-02-05T02:48:27.707Z,MATIC,5,,66c16dc2-a9b7-419f-839a-1de3a8588d55,Medium
fk@fkodama.com,2024-02-08T02:34:19.890Z,CHZ,2,,624b5fa3-6b48-4aef-8704-1b2f2949580c,Medium
fk@fkodama.com,2024-02-08T02:35:46.938Z,CRO,0,,4b31fdd2-9a32-4a12-8bef-a713e9d5d1b2,Low
fk@fkodama.com,2024-02-08T02:38:13.080Z,ENJ,1,,3cbdce59-3e25-423b-9964-0518a44529f4,Medium
fk@fkodama.com,2024-02-08T00:44:36.453Z,ADA,5,,35dffca8-3874-469b-9ce3-f1e992ceb800,Medium
fk@fkodama.com,2024-02-08T02:37:59.235Z,SAND,1,,0d048834-1329-4a51-b6d2-a3c79e8912ea,Low
fk@fkodama.com,2024-02-08T02:19:45.425Z,LINK,5,,34ca940a-e041-4d81-be5b-e1a4642e610d,High
fk@fkodama.com,2024-02-08T02:24:17.257Z,NEAR,5,,580c7d89-e073-4fdd-aa74-5b675840223e,High
fk@fkodama.com,2024-02-08T02:26:09.665Z,SOL,5,,a0ff21b0-5a26-439e-b05a-efd70a05453a,High
fk@fkodama.com,2024-02-08T02:24:06.844Z,MKR,5,,b32fa280-cda7-46cc-934d-efee3fb94e56,High
fk@fkodama.com,2024-02-08T02:23:48.781Z,AVAX,5,,b4926bc1-95c2-4818-a728-b8aec1210564,High
fk@fkodama.com,2024-02-08T02:34:54.064Z,INJ,5,,d58e3326-bdea-4127-9209-27bb7942c390,High
fk@fkodama.com,2024-02-08T02:37:06.679Z,ATOM,1,,bb3513c1-d42a-4815-949f-f95681bf4f46,High
fk@fkodama.com,2024-02-08T02:26:56.086Z,TRX,3,,3302d3d7-a561-4e4e-bb9d-de6c68b980cc,Medium
fk@fkodama.com,2024-02-08T02:38:42.302Z,OCEAN,1,Perhaps decrease it to 0.5%,ce5a00be-1fe6-4dba-8499-bd370bd13347,Medium
fk@fkodama.com,2024-02-08T02:34:43.628Z,FET,5,,a00eab11-9089-4999-9d20-72dab0964c98,High
fk@fkodama.com,2024-02-08T02:35:08.563Z,ROSE,1,,78c2cde0-9529-4490-9367-4e6003ada158,Medium
fk@fkodama.com,2024-02-08T02:24:52.093Z,DOT,4,,f125a1ed-b1d1-42ad-924d-8f69105b7081,Low
fk@fkodama.com,2024-02-08T02:27:10.634Z,AAVE,4,,3f45c76c-b673-49a9-8fe5-bc2a32e0e830,Medium
fk@fkodama.com,2024-02-05T02:47:27.877Z,ETH,10,,74644f43-0bed-4fae-82d0-4bf778ae619f,High
fk@fkodama.com,2024-02-08T02:24:40.272Z,UNI,5,,d814b352-dae3-4de0-a213-622bd8b1b939,Medium
fk@fkodama.com,2024-02-08T02:34:06.030Z,HBAR,2,,9967e27a-3d6c-494c-a4d4-4d69f82b47f2,Medium
fk@fkodama.com,2024-03-09T03:28:57.192Z,THETA,2,,a670659b-b864-4ca3-bbdc-dd9e6f191d9a,
fk@fkodama.com,2024-03-09T03:29:20.848Z,TFUEL,1,,1476c449-2c1f-4362-875c-db49181fc306,
fk@fkodama.com,2024-02-01T05:00:00.000Z,BTC,21,,68621971-81f7-4028-bae4-111459ff6430,High
